id;rentrak;cinema;salas;circuito;cidade;estado;regiao;endereco
197;65056;785 Salvador 10;10;CNMK;Salvador;BA;SERGIPE;Av. Franklin de Campos Sobral, 215
198;1059094;2127 Juá Garden 4;4;CNMK;Juazeiro;BA;RIO GRANDE DO NORTE;Av  Bernardo Vieira 3775 - Tirol
199;1060805;2130 Camacari 5;5;CNMK;Camacari;BA;BAHIA;Avenida Tancredo Neves 2915
200;1082324;2137 Itabuna 4;4;CNMK;Itabuna;BA;SERGIPE;Rua Delmiro Gouveia S/n
201;64499;718 Taguatinga 9;9;CNMK;Brasilia;DF;MINAS GERAIS;Rodovia BR 356, 3049 - Loja OP 47
202;64500;720 Pier 21 13;13;CNMK;Brasilia;DF;MINAS GERAIS;Av. Olegario Maciel, 1600
203;65649;769 Iguatemi Brasília 6;6;CNMK;Brasilia;DF;RIO DE JANEIRO;Avenida das Americas 500
204;65054;702 Cmkb Vitória 8;8;CNMK;Vitória;ES;SAO PAULO;Av. Piracema, 669
205;1048997;2117 Vila velha 8;8;CNMK;Vila Velha;ES;SAO PAULO;Av. Pres. Kennedy, 1500 - Ribeirão Preto
206;65040;2133 Flamboyant Goiania 8;8;CNMK;Goiânia;GO;SAO PAULO;Rua Garcia Lorca, 301 - Rudge Ramos
207;1032259;2113 Passeio das Aguas 7;7;CNMK;Goiânia;GO;SAO PAULO;Av Aricanduva 5555
208;63837;768 BH Shopping 10;10;CNMK;Belo Horizonte;MG;SAO PAULO;Av Interlagos 2255
209;63842;767 Diamond Mall 6;6;CNMK;Belo Horizonte;MG;SAO PAULO;Domingos Agostim 91
210;64869;697 Patio Savassi 8;8;CNMK;Belo Horizonte;MG;SAO PAULO;Av Higienopolis 646
211;1004205;2101 Cmk Uberlândia 5;5;CNMK;Uberlândia;MG;SAO PAULO;Av Cruzeiro do Sul 1100
212;1039993;2111 Metropolitan Garden Shop Betim 7;7;CNMK;Betim;MG;SAO PAULO;Av Industrial 600
213;1056765;2122 Varginha 4;4;CNMK;Varginha;MG;SAO PAULO;Av Deputado Benedito Matarazzo 9403
